,Coefficient
profession_Teaching,1.20969401121747
industry_Building,0.7932067368327667
industry_Banks,0.7736287880318481
profession_PR,0.6790546264172658
source_of_hire_referal,0.579902886707904
industry_Consult,0.5121309724877074
source_of_hire_rabrecNErab,0.39523748625811694
profession_Accounting,0.3652005179744507
profession_Engineer,0.349955075933748
age_bin_0-20,0.3426752216059494
source_of_hire_empjs,0.30814041492410327
tenure_bin_years_0-2,0.27721870339711424
profession_manage,0.25469769140786575
profession_Consult,0.22653760104157225
source_of_hire_KA,0.22561386657046031
tenure_bin_years_4-6,0.2165767667210522
way_of_travel_car,0.19764513783585844
gender_f,0.1635155537077308
tenure_bin_years_2-4,0.15896826259279642
coach_yes,0.15019785897712956
industry_Agriculture,0.13413144193345786
way_of_travel_bus,0.1335833091320902
pay_wage_grey,0.11501699194126887
head_gender_m,0.08923605302601835
profession_Commercial,0.046233110326671815
industry_Mining,0.03536984004464221
profession_Law,0.03443388740480168
age_bin_20-30,0.03343752568849508
openness,0.011118760333343636
coach_no,0.006459330058574704
industry_etc,0.0058959942393389565
industry_Pharma,-0.008057949885458719
selfcontrol,-0.01069052091102262
profession_Marketing,-0.013920278927189682
industry_Retail,-0.014678244402548812
agreeable,-0.034734891701880946
extraversion,-0.03666989176229823
source_of_hire_recNErab,-0.05530977223847562
industry_State,-0.06369063258195184
tenure_bin_years_6-8,-0.07136388927305716
head_gender_f,-0.08361632872284908
industry_manufacture,-0.09270103313448985
anxiety,-0.10661397436355635
pay_wage_white,-0.10939726763809572
age_bin_30-40,-0.13237571569376166
coach_my head,-0.1510374647325335
gender_m,-0.15789582940456506
profession_Finanñe,-0.1691924628315082
industry_transport,-0.16956718975391508
source_of_hire_youjs,-0.1766392216551721
industry_Telecom,-0.22067220535510176
profession_Sales,-0.23506403425718042
age_bin_40+,-0.23811730729752098
industry_ HoReCa,-0.2560309833127937
profession_etc,-0.29279696007155187
way_of_travel_foot,-0.32560872266478363
industry_RealEstate,-0.37275725326717546
profession_BusinessDevelopment,-0.39672271695802713
industry_PowerGeneration,-0.4412264878127407
source_of_hire_friends,-0.525421603831286
tenure_bin_years_8+,-0.5757801191347268
industry_IT,-0.6093620697604241
source_of_hire_advert,-0.7459043324324943
profession_HR,-0.9265146024130311
profession_IT,-1.1259757419622125
