PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7951,77,3167,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3167,6,84.0,04/04/2022,1,8,04/04/2022 07:00 AM
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7952,78,3450,"""The Gu"" red shirt XML tag t-shirt (White) XS",3450,6,84.0,04/04/2022,1,8,04/04/2022 07:00 AM
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7953,80,1717,"""The Gu"" red shirt XML tag t-shirt (White) M",1717,6,84.0,04/04/2022,1,8,04/04/2022 07:00 AM
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7954,86,3565,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3565,6,96.0,04/04/2022,1,8,04/04/2022 07:00 AM
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7955,95,1702,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1702,6,90.0,04/04/2022,1,8,04/04/2022 07:00 AM
1975,4,04/01/2022,7,2,04/21/2022,293092,1,,,8,04/04/2022 07:00 AM,7956,98,3508,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3508,6,96.0,04/04/2022,1,8,04/04/2022 07:00 AM
1976,7,04/01/2022,2,2,04/21/2022,BC0280982,1,,,8,04/04/2022 07:00 AM,7957,184,1513,Shipping carton (Brown) 305x305x305mm,1513,7,47.5,04/04/2022,1,8,04/04/2022 07:00 AM
1976,7,04/01/2022,2,2,04/21/2022,BC0280982,1,,,8,04/04/2022 07:00 AM,7958,193,2637,Black and orange glass with care despatch tape 48mmx75m,2637,7,38.4,04/04/2022,1,8,04/04/2022 07:00 AM
1976,7,04/01/2022,2,2,04/21/2022,BC0280982,1,,,8,04/04/2022 07:00 AM,7959,204,3036,Tape dispenser (Red),3036,7,170.0,04/04/2022,1,8,04/04/2022 07:00 AM
1977,4,04/02/2022,7,2,04/09/2022,293092,1,,,8,04/04/2022 07:00 AM,7960,78,9,"""The Gu"" red shirt XML tag t-shirt (White) XS",9,6,84.0,04/04/2022,1,8,04/04/2022 07:00 AM
1977,4,04/02/2022,7,2,04/09/2022,293092,1,,,8,04/04/2022 07:00 AM,7961,98,17,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",17,6,96.0,04/04/2022,1,8,04/04/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7962,77,3168,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3168,6,84.0,04/05/2022,1,10,04/05/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7963,78,3458,"""The Gu"" red shirt XML tag t-shirt (White) XS",3458,6,84.0,04/05/2022,1,10,04/05/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7964,80,1711,"""The Gu"" red shirt XML tag t-shirt (White) M",1711,6,84.0,04/05/2022,1,10,04/05/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7965,86,3562,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3562,6,96.0,04/05/2022,1,10,04/05/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7966,95,1715,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1715,6,90.0,04/05/2022,1,10,04/05/2022 07:00 AM
1978,4,04/04/2022,7,2,04/24/2022,293092,1,,,10,04/05/2022 07:00 AM,7967,98,3524,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3524,6,96.0,04/05/2022,1,10,04/05/2022 07:00 AM
1979,7,04/04/2022,2,2,04/24/2022,BC0280982,1,,,10,04/05/2022 07:00 AM,7968,184,1508,Shipping carton (Brown) 305x305x305mm,1508,7,47.5,04/05/2022,1,10,04/05/2022 07:00 AM
1979,7,04/04/2022,2,2,04/24/2022,BC0280982,1,,,10,04/05/2022 07:00 AM,7969,193,2640,Black and orange glass with care despatch tape 48mmx75m,2640,7,38.4,04/05/2022,1,10,04/05/2022 07:00 AM
1979,7,04/04/2022,2,2,04/24/2022,BC0280982,1,,,10,04/05/2022 07:00 AM,7970,204,3034,Tape dispenser (Red),3034,7,170.0,04/05/2022,1,10,04/05/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7971,77,3166,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3166,6,84.0,04/06/2022,1,17,04/06/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7972,78,3475,"""The Gu"" red shirt XML tag t-shirt (White) XS",3475,6,84.0,04/06/2022,1,17,04/06/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7973,80,1715,"""The Gu"" red shirt XML tag t-shirt (White) M",1715,6,84.0,04/06/2022,1,17,04/06/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7974,86,3561,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3561,6,96.0,04/06/2022,1,17,04/06/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7975,95,1711,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1711,6,90.0,04/06/2022,1,17,04/06/2022 07:00 AM
1980,4,04/05/2022,7,2,04/25/2022,293092,1,,,17,04/06/2022 07:00 AM,7976,98,3522,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3522,6,96.0,04/06/2022,1,17,04/06/2022 07:00 AM
1981,7,04/05/2022,2,2,04/25/2022,BC0280982,1,,,17,04/06/2022 07:00 AM,7977,184,1507,Shipping carton (Brown) 305x305x305mm,1507,7,47.5,04/06/2022,1,17,04/06/2022 07:00 AM
1981,7,04/05/2022,2,2,04/25/2022,BC0280982,1,,,17,04/06/2022 07:00 AM,7978,193,2655,Black and orange glass with care despatch tape 48mmx75m,2655,7,38.4,04/06/2022,1,17,04/06/2022 07:00 AM
1981,7,04/05/2022,2,2,04/25/2022,BC0280982,1,,,17,04/06/2022 07:00 AM,7979,204,3042,Tape dispenser (Red),3042,7,170.0,04/06/2022,1,17,04/06/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7980,77,3174,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3174,6,84.0,04/07/2022,1,4,04/07/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7981,78,3473,"""The Gu"" red shirt XML tag t-shirt (White) XS",3473,6,84.0,04/07/2022,1,4,04/07/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7982,80,1711,"""The Gu"" red shirt XML tag t-shirt (White) M",1711,6,84.0,04/07/2022,1,4,04/07/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7983,86,3559,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3559,6,96.0,04/07/2022,1,4,04/07/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7984,95,1707,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1707,6,90.0,04/07/2022,1,4,04/07/2022 07:00 AM
1982,4,04/06/2022,7,2,04/26/2022,293092,1,,,4,04/07/2022 07:00 AM,7985,98,3524,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3524,6,96.0,04/07/2022,1,4,04/07/2022 07:00 AM
1983,7,04/06/2022,2,2,04/26/2022,BC0280982,1,,,4,04/07/2022 07:00 AM,7986,184,1504,Shipping carton (Brown) 305x305x305mm,1504,7,47.5,04/07/2022,1,4,04/07/2022 07:00 AM
1983,7,04/06/2022,2,2,04/26/2022,BC0280982,1,,,4,04/07/2022 07:00 AM,7987,193,2653,Black and orange glass with care despatch tape 48mmx75m,2653,7,38.4,04/07/2022,1,4,04/07/2022 07:00 AM
1983,7,04/06/2022,2,2,04/26/2022,BC0280982,1,,,4,04/07/2022 07:00 AM,7988,204,3057,Tape dispenser (Red),3057,7,170.0,04/07/2022,1,4,04/07/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7989,77,3174,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3174,6,84.0,04/08/2022,1,4,04/08/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7990,78,3479,"""The Gu"" red shirt XML tag t-shirt (White) XS",3479,6,84.0,04/08/2022,1,4,04/08/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7991,80,1715,"""The Gu"" red shirt XML tag t-shirt (White) M",1715,6,84.0,04/08/2022,1,4,04/08/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7992,86,3557,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3557,6,96.0,04/08/2022,1,4,04/08/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7993,95,1714,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1714,6,90.0,04/08/2022,1,4,04/08/2022 07:00 AM
1984,4,04/07/2022,7,2,04/27/2022,293092,1,,,4,04/08/2022 07:00 AM,7994,98,3523,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3523,6,96.0,04/08/2022,1,4,04/08/2022 07:00 AM
1985,7,04/07/2022,2,2,04/27/2022,BC0280982,1,,,4,04/08/2022 07:00 AM,7995,184,1502,Shipping carton (Brown) 305x305x305mm,1502,7,47.5,04/08/2022,1,4,04/08/2022 07:00 AM
1985,7,04/07/2022,2,2,04/27/2022,BC0280982,1,,,4,04/08/2022 07:00 AM,7996,193,2651,Black and orange glass with care despatch tape 48mmx75m,2651,7,38.4,04/08/2022,1,4,04/08/2022 07:00 AM
1985,7,04/07/2022,2,2,04/27/2022,BC0280982,1,,,4,04/08/2022 07:00 AM,7997,204,3056,Tape dispenser (Red),3056,7,170.0,04/08/2022,1,4,04/08/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,7998,77,3185,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3185,6,84.0,04/11/2022,1,8,04/11/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,7999,78,3485,"""The Gu"" red shirt XML tag t-shirt (White) XS",3485,6,84.0,04/11/2022,1,8,04/11/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,8000,80,1725,"""The Gu"" red shirt XML tag t-shirt (White) M",1725,6,84.0,04/11/2022,1,8,04/11/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,8001,86,3564,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3564,6,96.0,04/11/2022,1,8,04/11/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,8002,95,1729,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1729,6,90.0,04/11/2022,1,8,04/11/2022 07:00 AM
1986,4,04/08/2022,7,2,04/28/2022,293092,1,,,8,04/11/2022 07:00 AM,8003,98,3523,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3523,6,96.0,04/11/2022,1,8,04/11/2022 07:00 AM
1987,7,04/08/2022,2,2,04/28/2022,BC0280982,1,,,8,04/11/2022 07:00 AM,8004,184,1501,Shipping carton (Brown) 305x305x305mm,1501,7,47.5,04/11/2022,1,8,04/11/2022 07:00 AM
1987,7,04/08/2022,2,2,04/28/2022,BC0280982,1,,,8,04/11/2022 07:00 AM,8005,193,2656,Black and orange glass with care despatch tape 48mmx75m,2656,7,38.4,04/11/2022,1,8,04/11/2022 07:00 AM
1987,7,04/08/2022,2,2,04/28/2022,BC0280982,1,,,8,04/11/2022 07:00 AM,8006,204,3056,Tape dispenser (Red),3056,7,170.0,04/11/2022,1,8,04/11/2022 07:00 AM
1988,4,04/09/2022,7,2,04/29/2022,293092,1,,,8,04/11/2022 07:00 AM,8007,77,1,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1,6,84.0,04/11/2022,1,8,04/11/2022 07:00 AM
1988,4,04/09/2022,7,2,04/29/2022,293092,1,,,8,04/11/2022 07:00 AM,8008,78,9,"""The Gu"" red shirt XML tag t-shirt (White) XS",9,6,84.0,04/11/2022,1,8,04/11/2022 07:00 AM
1988,4,04/09/2022,7,2,04/29/2022,293092,1,,,8,04/11/2022 07:00 AM,8009,86,3,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3,6,96.0,04/11/2022,1,8,04/11/2022 07:00 AM
1988,4,04/09/2022,7,2,04/29/2022,293092,1,,,8,04/11/2022 07:00 AM,8010,95,5,"""The Gu"" red shirt XML tag t-shirt (Black) XL",5,6,90.0,04/11/2022,1,8,04/11/2022 07:00 AM
1988,4,04/09/2022,7,2,04/29/2022,293092,1,,,8,04/11/2022 07:00 AM,8011,98,16,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",16,6,96.0,04/11/2022,1,8,04/11/2022 07:00 AM
1989,7,04/09/2022,2,2,04/29/2022,BC0280982,1,,,8,04/11/2022 07:00 AM,8012,184,10,Shipping carton (Brown) 305x305x305mm,10,7,47.5,04/11/2022,1,8,04/11/2022 07:00 AM
1989,7,04/09/2022,2,2,04/29/2022,BC0280982,1,,,8,04/11/2022 07:00 AM,8013,204,7,Tape dispenser (Red),7,7,170.0,04/11/2022,1,8,04/11/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8014,77,3184,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3184,6,84.0,04/12/2022,1,8,04/12/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8015,78,3509,"""The Gu"" red shirt XML tag t-shirt (White) XS",3509,6,84.0,04/12/2022,1,8,04/12/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8016,80,1730,"""The Gu"" red shirt XML tag t-shirt (White) M",1730,6,84.0,04/12/2022,1,8,04/12/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8017,86,3575,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3575,6,96.0,04/12/2022,1,8,04/12/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8018,95,1730,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1730,6,90.0,04/12/2022,1,8,04/12/2022 07:00 AM
1990,4,04/11/2022,7,2,05/01/2022,293092,1,,,8,04/12/2022 07:00 AM,8019,98,3550,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3550,6,96.0,04/12/2022,1,8,04/12/2022 07:00 AM
1991,7,04/11/2022,2,2,05/01/2022,BC0280982,1,,,8,04/12/2022 07:00 AM,8020,184,1515,Shipping carton (Brown) 305x305x305mm,1515,7,47.5,04/12/2022,1,8,04/12/2022 07:00 AM
1991,7,04/11/2022,2,2,05/01/2022,BC0280982,1,,,8,04/12/2022 07:00 AM,8021,193,2661,Black and orange glass with care despatch tape 48mmx75m,2661,7,38.4,04/12/2022,1,8,04/12/2022 07:00 AM
1991,7,04/11/2022,2,2,05/01/2022,BC0280982,1,,,8,04/12/2022 07:00 AM,8022,204,3081,Tape dispenser (Red),3081,7,170.0,04/12/2022,1,8,04/12/2022 07:00 AM
1992,4,04/12/2022,7,2,05/02/2022,293092,1,,,2,04/13/2022 07:00 AM,8023,77,3192,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3192,6,84.0,04/13/2022,1,2,04/13/2022 07:00 AM
1992,4,04/12/2022,7,2,05/02/2022,293092,1,,,2,04/13/2022 07:00 AM,8024,78,3514,"""The Gu"" red shirt XML tag t-shirt (White) XS",3514,6,84.0,04/13/2022,1,2,04/13/2022 07:00 AM
1992,4,04/12/2022,7,2,05/02/2022,293092,1,,,2,04/13/2022 07:00 AM,8025,80,1734,"""The Gu"" red shirt XML tag t-shirt (White) M",1734,6,84.0,04/13/2022,1,2,04/13/2022 07:00 AM
1992,4,04/12/2022,7,2,05/02/2022,293092,1,,,2,04/13/2022 07:00 AM,8026,86,3573,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3573,6,96.0,04/13/2022,1,2,04/13/2022 07:00 AM
